a piece of cake | проще простого
look older | выглядеть
look out | осторожно
look over | просматривать
look sharp | выглядеть
look through | пролистать
look up | искать в справочнике
look worse | выглядеть
look younger | выглядеть
make | делать
make a decision | принять решение
make breakfast | готовить завтрак
make coffee | сварить кофе
make dinner | готовить ужин
make ends meet | сводить концы с концами
make friends | заводить друзей
make mistakes | делать ошибки
make money | зарабатывать деньги
make out | разобрать
make progress | делать успехи
make sure | убедиться
make tea | заварить чай
make up | придумать
monday | понедельник
mouse | мышь
music | музыка
new file | новый файл
new year | новый год
next year | следующий год
on the other hand | с другой стороны
on the road | в дороге
once in a blue moon | раз в сто лет
once upon a time | жил-был
open file | открыть файл
open the door | открой дверь
open window | открытое окно
or | или
out of the blue | неожиданно
paste | вставить
pay attention | обратить внимание
pay back | вернуть долг
pay off | окупиться
piano | пианино
pick out | выбрать
pick up | подобрать
play guitar | играть на гитаре
play piano | играть на пианино
please | пожалуйста
pop music | поп-музыка
preferences | настройки
put | класть
put down | унижать
put off | откладывать
put on | надевать
put out | тушить
put up with | мириться с
rat | крыса
red | красный
red fish | красная рыба
redo | повторить
road | дорога
rock music | рок-музыка
rule of thumb | приблизительное правило
run | бежать
run across | наткнуться
run away | убегать
run into | столкнуться
run out | заканчиваться
run over | переехать
saturday | суббота
save as | сохранить как
save file | сохранить файл
school | школа
see | видеть
see you | увидимся
see you later | до скорого
see you soon | скоро увидимся
select all | выделить всё
set | устанавливать
set aside | отложить
set in | установиться
set off | отправиться в путь
set out | изложить
set up | настроить
settings | настройки
slow | медленный
small | маленький
small cat | маленькая кошка
small town | маленький город
sorry | простите
story book | книга с историями
sunday | воскресенье
take | брать
take a break | сделать перерыв
take after | пойти в (кого-то)
take it easy | не переживай
take off | взлетать
take on | брать на себя
take out | вынимать
take over | захватывать
take part | принимать участие
take up | заниматься
thank you | спасибо
thanks | спасибо
the ball is in your court | теперь решать тебе
therefore | поэтому
this year | в этом году
thursday | четверг
tiger | тигр
today | сегодня
tomorrow | завтра
tuesday | вторник
turn | поворачивать
turn down | убавить
turn into | превращаться
turn off | выключить
turn on | включить
turn out | оказаться
turn up | прибавить
under the weather | нездоровится
undo | отменить
video game | видеоигра
village | деревня
watch | смотреть
watch a movie | смотреть фильм
watch tv | смотреть телевизор
wednesday | среда
white | белый
white cat | белая кошка
window | окно
wolf | волк
work | работа
work off | сжигать (калории)
work on | работать над
work out | тренироваться
yellow | жёлтый
yesterday | вчера
you are welcome | пожалуйста
